,isbn,Title,author,last,first,wikiPage
226,HARVARD:HN6G1C,King Richard III,William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
227,9798706762650,"Henry VI, Part 3 Illustrated",William Shakespeare,Shakespeare,William,<WikipediaPage 'William Shakespeare'>
228,9781588367815,Soul of the Age,Jonathan Bate,Bate,Jonathan,<WikipediaPage 'Jonathan Bate'>
229,9781503600102,Beyond the Euromaidan,Henry Hale,Hale,Henry,<WikipediaPage 'Henry S. Hale'>
230,9780857127105,Jimi Hendrix: The Complete Guide to His Music,Peter Doggett,Doggett,Peter,<WikipediaPage 'Peter Doggett'>
231,0312198698,The Encyclopedia of Fantasy,John Clute,Clute,John,<WikipediaPage 'John Clute'>
232,9781466820760,Glass Soup,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
233,9780312700898,The Land of Laughs,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
234,9780765311863,Sleeping in Flame,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
235,9780765311863,Sleeping in Flame,Jonathan Carroll,Carroll,Jonathan,<WikipediaPage 'Jonathan Carroll'>
236,9780061793066,"To Sir Phillip, With Love",Julia Quinn,Quinn,Julia,<WikipediaPage 'Julia Quinn'>
237,9781429904636,Baby Proof,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
238,1250011868,Something Borrowed,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
239,1250011868,Something Borrowed,Emily Giffin,Giffin,Emily,<WikipediaPage 'Emily Giffin'>
240,9781338349078,P.S. Longer Letter Later,Paula Danziger,Danziger,Paula,<WikipediaPage 'Paula Danziger'>
241,9781535934510,"CSB Ultrathin Bible, Espresso/Black Leathertouch Indexed",CSB Holman,Holman,CSB,<WikipediaPage 'Holman Christian Standard Bible'>
242,9780007258925,"PS, I Love You",Cecelia Ahern,Ahern,Cecelia,<WikipediaPage 'Cecelia Ahern'>
243,9781429936828,The Christmas Hope,Donna VanLiere,VanLiere,Donna,<WikipediaPage 'Donna VanLiere'>
244,9780735211230,A Slow Fire Burning,Paula Hawkins,Hawkins,Paula,<WikipediaPage 'Paula Hawkins (author)'>
245,UOM:39015060074823,IMovie 4 and IDVD 4 for Mac OS X,Jeff Carlson,Carlson,Jeff,<WikipediaPage 'Jeff Carlson (ice hockey)'>
